Gym Name,Gym address,phon no,website,Column 5,Column 6
odisha fitness,rasugarh,8260494440,no,,
maruti nanda fitness club,patia,6370513423,no,,
muscle gym,laxmi sagar,8249602677,no,,
muscle gym,patrapada,7077772827,normal,,
the war house ,samantara ,9556567133,no,,
muscle headquter,rasugarh,7992750706,no,,
a1 fitness,patia,,,,
magneto fitness hub,uttara,9090000055,normal,,
strennous  fitness,NAYPAILLI,7381115115,normal,,
holifit lifestyle and fitness center,phulnakhara,9692308218,no,,
gr fitness,siba nagar,8249445006,no,,
fitness guru gym,sundarpada,9178911552,no,,
team kiran fitness,delta sqaure,9937667267,no,,
Raw fitness,jagamara,9090850093,no,,
fitness guru gym,sundarpada,9178911552,no,,
fit fighter ,sahid nagar,7437004444,no,,
JH fitness,kalinga nagar,7683870747,normal,,
fairly ladies gym,sailashree vihar,9776201338,no,,
fitness studio,near bharatpur,7008862045,good,,
vigor fitness ,jagamara,8594992968,normal,,
sa fitness pro,rasugarh,9090114545,no,,
the world gym,baramunda,9861949439,no,,
icon empire ,nayapalli,7077016179,no,,
aerofit,sailashree vihar,9090150510,no,,
venus gym & fitness world,rasugarh,9437009834,no,,
fitness world gym,sisupalgarh,9090070556,NO,,
ZR Fitness,khandagiri,9938867567,no,,
icon empire ,nayapalli,7077016179,no,,
divine gym,jagamara,9583784908,no,,
euro gym,jharpada,9937137311,no,,
the bhubaneswar,nayapail,7077661163,no,,
b fit gym and zumba center,phulnakhara,8249783828,NO,,
ONE Life wellness,neeladari vihar,7978626286,normal,,
body fit ,irc village,8270888775,no,,
jurassic fitness health clkub,saheed nagar,7008947742,no,,
sweet box gym,khandagiri,9658475558,no,,
HOP : and HB+ stidio,chandrashekhar ,9040170666,no,,
ustayfit gym,saheed nagar,9338092381,no,,
the fitness den,irc village,,,,
fitness zone (gym & physiotherapy),jaydev vihar,9861231761,yes,,
All time fitness 1.0 ,jagamara,9937123411,,,
kalinga fitness club,bharatpur,9556782331,no,,
dynamic gym,jaydev vihar,9853331455,no,,
power gym,saheed nagar,9778340140,no,,
titan forge fitness,laxmi sagar,7978923901,no,,
strak the muscle factory,ghatikia,7008184461,no,,
health planet gym,patia,9337729258,no,,
gr fitness,siba nagar,8249445006,no,,
kalyan multi gym,gautam nagar,9861721180,no,,
fitness arena,nayapailli,8637204661,no,,
oxygen fitness studio,puri bypass,9861296626,no,,
mg fitness point,puri bypass,7008203439,no,,
the bhubaneswar,nayapailli,7077661163,,,
iron empire gym,nayapaiili,7077016179,no,,
bodyfit,irc village,8270888775,no,,
shape you fitness club,puri canala ,9668600111,no,,
trikara health club,puri by pass,9090229953,no,,
royale fitness 2.0,tulasi vihar,9090607260,no,,
mrp fitness ,patia,9040170666,no,,
kharvelas fitness,sisupalgarh,7008010771,no,,
city gym ,sahid nagar,9853905905,no,,
stalwart ,rasugarh,8917404305,no,,
physique gym,baragarh,7978501815,no,,
fit with beat ,sahid nagar,7849019231,no,,
kings plantinum,patia,9437644368,no,,
gladiator fitness,satya nagar,9692987647,no,,
shefit studio,nayapailli,9437512667,no,,
fairly ladies gym,sailashree vihar,9776201338,no,,
royal fitness gyma,patia,9583275250,no,,
good life gym and fitness ,sailashree vihar,9556670890,normal,,
iron hour gym,jagamohan nagar,7205638826,no,,
r.v gym,pandav nagar,9937842666,no,,
fit with beat ,saheed nagar,7849019231,no,,
king plantinum gym,patia,9437644368,no,,
mahaveer fitness ,baramunda,8908161115,no,,
kato's gym,niladri bihar,9658406900,no,,
fit queen gym,irc village,9437119208,no,,
adyashakti fitness gym,bhimatangi,9583311119,no,,
biju patnaik swaimming complex gym,nayapailli,7008351416,no,,
classic fitness,khandagiri,9937004727,no,,
shreejagnath health club,sameigadia ,9778039927,no,,
aura gym kiit area behind kp - v,sikharchandi vihar,7873953337,no,,
smile yoga,SARALA NAGAR,9556188012,no,,
unicorn gym,saheed nagar,9861263671,no,,
Gopabandhu Fitness Center,gopabandhu nagar,9658184749,No,,
RK Gym & Fitness ,"Pandab Nagar, BBSR",7606992872,NO,,
Harmony Fitness,Mancheswar ,9438249520,No,,
The kettle bell,"Rasulgad, BBSr",7377788651,no,,
Mas fintess Factory,Jharpada,9438124046,No,,
Fitness Park,Barmunda,6742354818,No,,
DK 2 More Fitness,Khandagiri,7008060780,No,,
Mahavir Gym,Nayapallli,8252354763,No,,
Crossfit Gym,Nayapalli,7008938428,No,,
Solid Health Gym,"Forest Park, BBSR",7978454995,No,,
Mudra Fitness,Jharpada,7259031876,no,,
Pro-Fit Unisex Gym,Gadachandi Market Complex,8093289717,No,,
Muscle Take Multi Gym,"Rashulgada, BBsr",7504053873,No,,
Jaguars Fitness Lounge,Ashok Nagar,6742531890,no,,
Stalwart xanadu,chandra sekhar pur,7077671215,Normal,,
Bhubaneswar Health Club,Nayapalli,7440016703,No,,
Mahavir Multi Gym,Rasulgada,7978165945,No,,
